pid,sid,rank
2803,4802,16
2693,4870,0
2838,4802,19
2664,3535,1
2766,3535,13
2701,4814,2
2681,3271,5
2710,3851,0
2830,3453,4
2697,3851,1
2696,3851,2
2680,4827,1
2726,4700,1
2731,4700,7
2866,4700,2
2708,4639,1
2813,3264,3
2800,3699,7
2770,4700,3
2682,3493,1
2760,4700,6
2704,3493,3
2745,4700,4
2762,3493,2
2619,4744,4
2774,4863,4
2787,4862,6
2815,4469,15
2643,4469,12
2751,4850,6
2683,4870,1
2690,4870,2
2883,4870,4
2839,3685,1
2873,3453,2
2673,4811,5
2779,4827,7
2854,4811,8
2791,4626,3
2792,4626,4
2701,3720,5
2660,5009,0
2792,4775,3
2907,3912,5
2704,3592,5
2765,4870,7
2791,4775,2
2654,3685,0
2762,4766,5
2690,4766,3
2841,4465,0
2660,3449,0
2737,3392,0
2657,3409,3
2695,3449,3
2795,3449,2
2883,4465,5
2700,4862,3
2649,4862,4
2718,4465,4
2708,3467,4
2719,4863,8
2813,3467,3
2819,4744,2
2773,4870,20
2878,4870,19
2808,4870,14
2649,4619,0
2918,5012,58
2666,4870,10
2888,3635,5
2853,3715,5
2700,4964,1
2698,3508,4
2618,3703,3
2837,3703,2
2855,4814,4
2803,3699,8
2770,4048,5
2875,3092,0
2744,4048,6
2617,5032,0
2680,4980,0
2673,3710,7
2630,4645,0
2719,4048,1
2879,4870,6
2694,4870,5
2897,4642,2
2843,4642,1
2747,4958,1
2826,4958,0
2881,2739,5
2700,4645,6
2699,5015,1
2762,5032,1
2696,4986,12
2908,4986,9
2703,5021,6
2664,3700,3
2792,3692,0
2842,4642,0
2815,3599,2
2708,3474,1
2675,4704,8
2708,3692,1
2855,3829,1
2920,4996,1
2832,4794,1
2822,4794,2
2824,4794,3
2812,5076,7
2717,4794,4
2794,3474,4
2655,4862,2
2823,3474,3
2720,4794,5
2676,3692,2
2649,3467,11
2866,4971,5
2704,4799,4
2817,4971,2
2690,5082,0
2754,4775,7
2650,4805,2
2778,3585,2
2780,4766,2
2853,4971,0
2702,3467,10
2853,4744,5
2700,3829,3
2830,4946,1
2828,4946,4
2777,3700,6
2719,3635,2
2809,4870,18
2696,4958,3
2684,4870,17
2770,4870,16
2728,3700,8
2690,4980,2
2619,4642,3
2708,4704,2
2689,4870,13
2696,4866,7
2855,3467,8
2728,3467,2
2727,4645,5
2785,4782,1
2755,4782,3
2643,4782,2
2684,4763,3
2695,4763,6
2679,3695,3
2800,3724,4
2830,4879,3
2877,4920,0
2652,5068,8
2717,3703,1
2715,4894,0
2878,5018,3
2676,4704,0
2659,5018,2
2800,5018,15
2767,5018,4
2657,3724,0
2824,3724,2
2780,3493,5
2908,3516,5
2881,3516,4
2767,4859,4
2682,4760,2
2814,4896,6
2787,4986,13
2822,5021,7
2681,4827,0
2865,4629,2
2771,3516,0
2828,4629,6
2832,4929,10
2652,3542,6
2719,3695,8
2835,4775,8
2800,4775,9
2762,4794,6
2901,5012,20
2813,4619,3
2664,4441,8
2899,3508,5
2667,4879,5
2855,4670,2
2682,3700,2
2823,4902,2
2846,4902,8
2890,4902,7
2683,3700,1
2731,4902,0
2814,3716,2
2787,4687,1
2841,3535,7
2779,4760,1
2863,3700,15
2701,3700,16
2902,3700,21
2836,4985,12
2693,3700,22
2865,4949,0
2774,4775,11
2888,3338,0
2855,4896,9
2855,4469,6
2652,4626,5
2835,4763,4
2841,4796,1
2803,4796,0
2836,4796,4
2703,4796,3
2704,3808,2
2712,3516,2
2762,4873,3
2660,3724,8
2641,3724,9
2715,4687,4
2817,4744,0
2713,3542,11
2722,3727,6
2676,3727,7
2680,3271,4
2682,4929,6
2656,4802,3
2657,4802,4
2640,4626,6
2702,4802,10
2784,4802,13
2798,4802,14
2675,4616,2
2702,4632,4
2647,3695,1
2814,4850,2
2683,4929,3
2754,4929,2
2909,3474,5
2717,4808,0
2689,4929,7
2717,4929,5
2853,4626,0
2682,4717,4
2701,4639,3
2649,4964,2
2855,4687,8
2649,4820,3
2806,3474,0
2712,3724,1
2904,4469,2
2802,3696,4
2800,4441,6
2775,5018,20
2762,5018,21
2664,3912,2
2899,5012,42
2664,3724,7
2773,5012,37
2853,3700,17
2882,4700,5
2689,4866,8
2667,4687,2
2717,3493,6
2680,4866,3
2689,3493,4
2845,4817,0
2787,3734,1
2855,3734,0
2855,4802,0
2708,4856,1
2891,4920,2
2718,5012,2
2676,4985,7
2708,5015,6
2679,3271,1
2754,3695,7
2836,3695,5
2760,4794,7
2881,5012,27
2864,3599,7
2804,4794,8
2652,4896,5
2699,4896,1
2865,4896,2
2731,4896,4
2780,4929,0
2778,5076,4
2696,4645,3
2647,4943,5
2908,4693,2
2784,4693,4
2808,4943,1
2795,4693,6
2770,4693,7
2649,4673,1
2697,4827,6
2754,4971,7
2812,4920,4
2780,4850,5
2764,4850,4
2800,4632,6
2649,4632,8
2667,4616,4
2823,4616,1
2649,3734,3
2813,5021,3
2680,4929,4
2688,5018,11
2813,4885,13
2833,4866,2
2855,4894,5
2708,3734,2
2866,5076,8
2794,3714,1
2680,3706,2
2853,4629,0
2664,4651,11
2618,4629,8
2818,4629,9
2702,3706,6
2820,4958,2
2813,4775,5
2703,3706,4
2672,4824,5
2691,4885,12
2815,4885,10
2904,3706,0
2702,4775,0
2864,4996,3
2731,4996,5
2754,4639,2
2655,4935,3
2833,3695,4
2872,3092,1
2658,3092,2
2803,4714,1
2836,3692,4
2766,4651,2
2832,4772,6
2732,3635,8
2834,4693,5
2826,4971,3
2650,4775,6
2882,4996,0
2818,4830,1
2667,4805,1
2640,3477,1
2695,4651,12
2768,4766,0
2655,4469,10
2765,3635,4
2640,3460,2
2668,3460,3
2810,3635,3
2834,4772,0
2679,2739,0
2619,4811,3
2618,4811,4
2853,4811,6
2693,4424,7
2782,3585,3
2682,3585,4
2755,4469,0
2765,4651,5
2891,4873,2
2765,3691,1
